"PDB ID";"resolution";"releaseDate";"StructureWeight";"PolymerWeight";"NonpolymerWeight";"NonpolymerWeightNowater";"WaterWeight";"atomCount";"hetatmCount";"allAtomCount";"allAtomCountLn";"aaCount";"ligandCount";"ligandBondRotationFreedom";"aaLigandCount";"aaLigandCountNowater";"aaLigandCountFiltered";"ligandRatio";"hetatmCountNowater";"ligandCountNowater";"ligandRatioNowater";"hetatmCountFiltered";"ligandCarbonChiraAtomCountFiltered";"ligandCountFiltered";"ligandRatioFiltered";"hetatmCountMetal";"ligandCountMetal";"ligandRatioMetal";"hetatmCountNometal";"ligandCountNometal";"ligandRatioNometal";"hetatmCountNowaterNometal";"ligandCountNowaterNometal";"ligandRatioNowaterNometal";"hetatmCountFilteredMetal";"ligandCountFilteredMetal";"ligandRatioFilteredMetal";"hetatmCountFilteredNometal";"ligandCountFilteredNometal";"ligandRatioFilteredNometal";"clashscore";"RamaOutliers";"SidechainOutliers";"ClashscorePercentile";"RamaOutliersPercentile";"SidechainOutliersPercentile";"combinedGeometryQuality";"DCC_R";"DCC_Rfree";"absolute-percentile-DCC_Rfree";"AngleRMSZstructure";"BondRMSZstructure";"RSRZoutliers";"RSRZoutliersPercentile";"combinedXrayQualityMetric";"combinedOverallQualityMetric";"highestChainBondsRMSZ";"highestChainAnglesRMSZ";"averageResidueRSR";"ChiralProblemLigandRatio";"GoodLigandRatio";"TopologyProblemLigandRatio";"LigandTopologyProblemsPrecise";"LigandTopologyCarbonChiraProblemsPrecise";"ChiraProblemsPrecise";"GoodLigandRatioBinary";"LigandTopologyProblemsPreciseBinary";"LigandTopologyCarbonChiraProblemsPreciseBinary";"ChiraProblemsPreciseBinary";"averageLigandRSR";"averageLigandAngleRMSZ";"averageLigandBondRMSZ";"averageLigandRSCC";"ligandRSCCoutlierRatio";"AssemblyTotalWeight";"AssemblyBiopolymerCount";"AssemblyUniqueBiopolymerCount";"AssemblyLigandCount";"AssemblyUniqueLigandCount";"AssemblyWaterCount";"AssemblyBiopolymerWeight";"AssemblyLigandWeight";"AssemblyWaterWeight";"averageResidueRSCC";"residueRSCCoutlierRatio";"AssemblyLigandFlexibility";"averageLigandRSCCsmallLigs";"averageLigandRSCClargeLigs";"absolute-percentile-RNAsuiteness"
"106m";1.99;1998;20.758;17.4132;3344.78;768.636;2576.14;1228;195;1423;7.26052;154;146;0.7;300;157;155;1.33562;52;3;17.3333;43;0;1;43;43;1;43;152;145;1.04828;9;2;4.5;43;1;43;0;0;"nan";7;0;3.17;45;100;41.9;53.4868;0.15;0.21;77.8;0.56;0.45;0.65;88.9;82.9804;38.3836;0.45;0.56;0.0874747;0;1;0;0;0;0;1;0;0;0;0.0796667;1.07667;1.00333;0.972333;0;18.2;1;1;3;3;1;17.4132;768.636;18.015;0.932135;0.0740741;0.0695573;0.9705;0.976;"nan"
"107d";"nan";1995;4.74435;4.23485;509.508;509.508;0;1771;252;2023;7.61234;14;1;0.756098;15;15;15;252;252;1;252;37;2;1;37;0;0;"nan";252;1;252;252;1;252;0;0;"nan";37;1;37;14.82;"nan";"nan";20.1;"nan";"nan";"nan";"nan";"nan";"nan";2.28;1.51;"nan";"nan";"nan";"nan";1.69;2.7;"nan";0;1;0;0;0;0;1;0;0;0;"nan";3.2475;1.7575;"nan";"nan";4.744;2;2;1;1;0;4.23485;509.508;0;"nan";"nan";0.102941;"nan";"nan";"nan"
"107l";1.8;1993;21.5458;18.5983;2947.44;227.172;2720.26;1289;161;1450;7.27932;164;155;"nan";319;168;164;1.03871;10;4;2.5;0;0;0;"nan";0;0;"nan";161;155;1.03871;10;4;2.5;0;0;"nan";0;0;"nan";6.09;0;2.99;51.2;100;44;57.4069;0.16;"nan";"nan";1.43;1.05;0;100;"nan";"nan";1.05;1.43;0.123149;"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";0.075;0.605;0.54;0.941;0;18.844;1;1;4;2;1;18.5983;227.172;18.015;0.914038;0.149206;0.555555;0.941;"nan";"nan"
"107m";2.09;1998;20.6409;17.4132;3227.71;795.682;2432.03;1228;189;1417;7.2563;154;138;0.7;292;157;155;1.36957;54;3;18;43;0;1;43;43;1;43;146;137;1.06569;11;2;5.5;43;1;43;0;0;"nan";7.38;0;3.97;42.6;100;34.1;47.7709;0.16;0.22;69.2;0.52;0.38;0.65;88.9;77.8226;31.4468;0.38;0.52;0.0911211;0;1;0;0;0;0;1;0;0;0;0.1;1.18;1.32667;0.958667;0;18.227;1;1;3;3;1;17.4132;795.682;18.015;0.926332;0.0795848;0.103949;0.9545;0.967;"nan"
"108d";"nan";1995;5.65037;4.85521;795.155;795.155;0;20159;4600;24759;10.1169;8;1;0.71875;9;9;9;4600;4600;1;4600;57;0;1;57;0;0;"nan";4600;1;4600;4600;1;4600;0;0;"nan";57;1;57;3.35;"nan";"nan";75.2;"nan";"nan";"nan";"nan";"nan";"nan";2.13;1.29;"nan";"nan";"nan";"nan";1.4;2.68;"nan";0;1;0;0;0;0;1;0;0;0;"nan";1.701;1.62625;"nan";"nan";5.65;2;1;1;1;0;4.85521;795.155;0;"nan";"nan";0.114754;"nan";"nan";"nan"
"108l";1.8;1993;21.9442;18.6544;3289.72;227.172;3062.55;1293;180;1473;7.29506;164;174;"nan";338;168;164;1.03448;10;4;2.5;0;0;0;"nan";0;0;"nan";180;174;1.03448;10;4;2.5;0;0;"nan";0;0;"nan";6.44;0;2.22;49;100;54.8;61.6569;0.15;"nan";"nan";1.29;0.95;0;100;"nan";"nan";0.95;1.29;0.117563;"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";0.1075;0.42;0.495;0.871;0.5;18.9;1;1;4;2;1;18.6544;227.172;18.015;0.925326;0.107784;0.555555;0.871;"nan";"nan"
"108m";2.67;1998;19.7582;17.4132;2344.97;795.682;1549.29;1241;144;1385;7.23346;154;89;0.7;243;157;155;1.61798;58;3;19.3333;43;0;1;43;43;1;43;101;88;1.14773;15;2;7.5;43;1;43;0;0;"nan";25.6;0;5.56;6.3;100;23.1;14.1496;0.12;0.19;90.4;0.66;0.58;0;100;94.958;14.5038;0.58;0.66;0.0954298;0;1;0;0;0;0;1;0;0;0;0.0965;1.665;1.5425;0.9795;0;18.227;1;1;3;3;1;17.4132;795.682;18.015;0.972665;0.00413223;0.103949;0.977667;0.985;"nan"
"109d";2;1995;9.36888;7.32678;2042.1;420.75;1621.35;485;121;606;6.40688;12;92;0.685714;104;14;13;1.31522;31;2;15.5;30;0;1;30;1;1;1;120;91;1.31868;30;1;30;0;0;"nan";30;1;30;6.2;"nan";"nan";50.4;"nan";"nan";"nan";0.19;"nan";"nan";3.56;2.56;0;100;"nan";"nan";3;3.76;0.337591;0;1;0;0;0;0;1;0;0;0;0.148;1.99;1.85;0.924;0;7.784;2;1;2;2;2;7.32678;420.75;36.03;0.773904;0.443478;0.527273;"nan";0.924;"nan"
"109l";1.85;1993;21.6359;18.6705;2965.45;227.172;2738.28;1294;162;1456;7.28345;164;156;"nan";320;168;164;1.03846;10;4;2.5;0;0;0;"nan";0;0;"nan";162;156;1.03846;10;4;2.5;0;0;"nan";0;0;"nan";7.57;0;0.74;41.4;100;85.3;65.3909;0.16;"nan";"nan";1.45;1.08;0;100;"nan";"nan";1.08;1.45;0.127687;"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";0.1135;0.51;0.525;0.9405;0;18.916;1;1;4;2;1;18.6705;227.172;18.015;0.928699;0.085443;0.555555;0.9405;"nan";"nan"
"109m";1.83;1998;21.6828;17.3652;4317.59;768.636;3548.95;1224;249;1473;7.29506;154;200;0.7;354;157;155;1.245;52;3;17.3333;43;0;1;43;43;1;43;206;199;1.03518;9;2;4.5;43;1;43;0;0;"nan";10.91;0.66;3.17;27;23.9;41.9;29.1987;0.15;0.21;77.8;0.58;0.51;0;100;87.5141;30.9064;0.51;0.58;0.083057;0;1;0;0;0;0;1;0;0;0;0.083;1.22;1.19333;0.971333;0;18.152;1;1;3;3;1;17.3652;768.636;18.015;0.939966;0.0512821;0.0695573;0.963;0.988;"nan"
"10gs";2.2;1998;50.8752;46.4931;4382.09;1337.56;3044.54;3261;259;3520;8.16622;209;173;0.73913;382;213;213;1.49711;90;4;22.5;90;6;4;22.5;0;0;"nan";259;173;1.49711;90;4;22.5;0;0;"nan";90;4;22.5;5.97;0.49;6.86;51.9;30.8;16.9;27.0497;0.17;0.2;77.8;0.57;0.31;1.2;78.6;78.198;19.6238;0.32;0.57;0.13432;0;1;0;0;0;0;1;0;0;0;0.1415;1.1325;1.8475;0.94225;0;47.867;2;1;4;2;2;46.4931;1337.56;36.03;0.946793;0.0136752;0.182951;"nan";0.94225;"nan"
"10mh";2.55;1999;47.0924;44.384;2708.35;384.411;2323.93;3059;194;3253;8.08733;351;132;0.816901;483;354;354;1.4697;65;3;21.6667;67;11;3;22.3333;0;0;"nan";194;132;1.4697;65;3;21.6667;0;0;"nan";67;3;22.3333;4.33;0.62;7.07;66.3;26.9;16.1;26.2308;"nan";"nan";"nan";1.95;1.53;"nan";"nan";"nan";"nan";3.7;4.66;"nan";0;1;0;0;0;0;1;0;0;0;"nan";2.3;1.94667;"nan";"nan";44.822;3;3;1;1;3;44.384;384.411;54.045;"nan";"nan";0.145833;"nan";"nan";"nan"
"110d";1.9;1993;3.22046;1.8102;1410.26;527.52;882.735;119;87;206;5.32788;6;50;0.785714;56;7;7;1.74;38;1;38;38;6;1;38;0;0;"nan";87;50;1.74;38;1;38;0;0;"nan";38;1;38;3.94;"nan";"nan";70.2;"nan";"nan";"nan";0.22;"nan";"nan";4.82;2.83;0;100;"nan";"nan";2.83;4.82;0.290255;0;1;0;0;0;0;1;0;0;0;0.136;2.63;1.45;0.92;0;4.711;2;1;2;1;2;3.62041;1055.04;36.03;0.789091;0.436364;0.056338;"nan";0.92;"nan"
"110l";1.7;1993;21.3497;18.6544;2695.23;227.172;2468.06;1293;147;1440;7.2724;164;141;"nan";305;168;164;1.04255;10;4;2.5;0;0;0;"nan";0;0;"nan";147;141;1.04255;10;4;2.5;0;0;"nan";0;0;"nan";5.68;0;2.22;54.2;100;54.8;64.2421;0.17;"nan";"nan";1.29;1.01;0.62;88.9;"nan";"nan";1.01;1.29;0.106764;"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";0.134;0.505;0.555;0.869;0.5;18.9;1;1;4;2;1;18.6544;227.172;18.015;0.930654;0.0930233;0.555555;0.869;"nan";"nan"
"110m";1.77;1998;21.3435;17.3652;3978.29;753.602;3224.68;1224;230;1454;7.28207;154;182;0.7;336;157;155;1.26374;51;3;17;43;0;1;43;43;1;43;187;181;1.03315;8;2;4;43;1;43;0;0;"nan";9.37;0.66;3.17;32.6;23.9;41.9;31.1261;0.15;0.21;77.8;0.54;0.42;0.65;88.9;82.9804;30.5033;0.42;0.54;0.0817658;0;1;0;0;0;0;1;0;0;0;0.076;1.03;1.85667;0.971333;0;18.137;1;1;3;3;1;17.3652;753.602;18.015;0.93473;0.0660661;0.0325203;0.9655;0.983;"nan"
"111d";2.25;1993;8.49176;7.37483;1116.93;0;1116.93;489;62;551;6.31173;12;62;"nan";74;12;12;1;0;0;"nan";0;0;0;"nan";0;0;"nan";62;62;1;0;0;"nan";0;0;"nan";0;0;"nan";18.37;"nan";"nan";11.9;"nan";"nan";"nan";"nan";"nan";"nan";3.03;1.76;"nan";"nan";"nan";"nan";1.85;3.11;"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";7.411;2;1;0;0;2;7.37483;0;36.03;"nan";"nan";"nan";"nan";"nan";"nan"
"111l";1.8;1993;21.6267;18.6554;2971.32;70.906;2900.41;1293;163;1456;7.28345;164;163;"nan";327;166;164;1;2;2;1;0;0;0;"nan";0;0;"nan";163;163;1;2;2;1;0;0;"nan";0;0;"nan";9.56;0;4.44;31.8;100;30.9;40.6454;0.16;"nan";"nan";1.31;0.99;0;100;"nan";"nan";0.99;1.31;0.11656;"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";18.744;1;1;2;1;1;18.6554;70.906;18.015;0.930665;0.0861538;1;"nan";"nan";"nan"
"111m";1.88;1998;20.9352;17.3652;3569.99;795.682;2774.31;1224;208;1432;7.26683;154;157;0.7;311;157;155;1.32484;54;3;18;43;0;1;43;43;1;43;165;156;1.05769;11;2;5.5;43;1;43;0;0;"nan";14.39;0;1.59;18;100;65.5;37.1183;0.16;0.22;69.2;0.54;0.41;0.65;88.9;77.8226;29.2705;0.41;0.54;0.0917597;0;1;0;0;0;0;1;0;0;0;0.112;1.16;1.46667;0.947;0;18.179;1;1;3;3;1;17.3652;795.682;18.015;0.933149;0.0487013;0.103949;0.934;0.973;"nan"
"112d";2.5;1993;8.87008;7.37483;1495.25;0;1495.25;489;83;572;6.34914;12;83;"nan";95;12;12;1;0;0;"nan";0;0;0;"nan";0;0;"nan";83;83;1;0;0;"nan";0;0;"nan";0;0;"nan";10.5;"nan";"nan";28.4;"nan";"nan";"nan";"nan";"nan";"nan";2.44;1.16;"nan";"nan";"nan";"nan";1.19;2.5;"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";7.411;2;1;0;0;2;7.37483;0;36.03;"nan";"nan";"nan";"nan";"nan";"nan"
"112l";1.8;1993;21.5318;18.6384;2893.39;227.172;2666.22;1292;158;1450;7.27932;164;152;"nan";316;168;164;1.03947;10;4;2.5;0;0;0;"nan";0;0;"nan";158;152;1.03947;10;4;2.5;0;0;"nan";0;0;"nan";6.07;0;4.44;51.2;100;30.9;48.4702;0.16;"nan";"nan";1.34;1.03;0.62;88.9;"nan";"nan";1.03;1.34;0.108103;"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";0.088;0.76;0.525;0.9005;0;18.884;1;1;4;2;1;18.6384;227.172;18.015;0.923407;0.0865385;0.555555;0.9005;"nan";"nan"
"112m";2.34;1998;20.6149;17.3652;3249.71;781.655;2468.06;1224;190;1414;7.25418;154;140;0.7;294;157;155;1.35714;53;3;17.6667;43;0;1;43;43;1;43;147;139;1.05755;10;2;5;43;1;43;0;0;"nan";10.12;0;2.38;29.9;100;51.8;47.8089;0.15;0.23;59.2;0.48;0.29;0.65;88.9;71.072;24.3404;0.29;0.48;0.100337;0;1;0;0;0;0;1;0;0;0;0.075;1.06333;1.59667;0.982;0;18.165;1;1;3;3;1;17.3652;781.655;18.015;0.940076;0.0549828;0.0931263;0.9825;0.981;"nan"
"113d";2.5;1993;8.65389;7.35681;1297.08;0;1297.08;487;72;559;6.32615;12;72;"nan";84;12;12;1;0;0;"nan";0;0;0;"nan";0;0;"nan";72;72;1;0;0;"nan";0;0;"nan";0;0;"nan";15.75;"nan";"nan";15.4;"nan";"nan";"nan";"nan";"nan";"nan";2.5;1.58;"nan";"nan";"nan";"nan";1.61;2.55;"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";7.393;2;1;0;0;2;7.35681;0;36.03;"nan";"nan";"nan";"nan";"nan";"nan"
"113l";1.8;1993;21.6099;18.6985;2911.41;227.172;2684.24;1296;159;1455;7.28276;164;153;"nan";317;168;164;1.03922;10;4;2.5;0;0;0;"nan";0;0;"nan";159;153;1.03922;10;4;2.5;0;0;"nan";0;0;"nan";3.78;0;2.22;71.2;100;54.8;70.9335;0.16;"nan";"nan";1.36;0.97;0;100;"nan";"nan";0.97;1.36;0.122831;"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";"nan";0.071;0.335;0.57;0.941;0;18.944;1;1;4;2;1;18.6985;227.172;18.015;0.925102;0.0990415;0.555555;0.941;"nan";"nan"
"114d";2.5;1993;8.49777;7.34481;1152.96;0;1152.96;487;64;551;6.31173;12;64;0.791667;76;12;14;1;0;0;"nan";44;6;2;22;0;0;"nan";64;64;1;0;0;"nan";0;0;"nan";44;2;22;23.75;"nan";"nan";7.3;"nan";"nan";"nan";"nan";"nan";"nan";1.99;1.2;"nan";"nan";"nan";"nan";1.25;2.01;"nan";0;1;0;0;0;0;1;0;0;0;"nan";"nan";"nan";"nan";"nan";7.381;2;1;0;0;2;7.34481;0;36.03;"nan";"nan";"nan";"nan";"nan";"nan"
